Watchlist 'nyse4'

nyse4
Symbol,Last,Price / Earnings Ratio - Current,Market Cap
GD,146.50,13.85,"42,041 M"
GDS,93.50,-175.96,"17,475 M"
GDV,21.25,<empty>,"1,924 M"
GE,10.61,371.63,"92,942 M"
GEC,2.61,-4.3852,69 M
GEF,46.34,20.424,"2,755 M"
GEL,6.56,-2.2096,804 M
GEN,.5354,-1.0199,89 M
GEO,8.58,8.0989,"1,041 M"
GER,7.73,-.22039,68 M
GES,18.80,-14.841,"1,196 M"
GFF,20.04,17.128,"1,127 M"
GFI,9.26,36.459,"8,180 M"
GFL,27.42,<empty>,"8,949 M"
GGB,4.66,134.89,"7,927 M"
GGG,72.47,40.942,"12,142 M"
GGM,19.34,<empty>,175 M
GGN,3.44,<empty>,567 M
GGT,7.87,<empty>,198 M
GH,135.93,-66.171,"13,589 M"
GHC,496.02,12.262,"2,483 M"
GHL,12.43,-18.706,236 M
GHY,14.52,127.69,594 M
GIB,78.37,<empty>,"20,145 M"
GIK,12.12,<empty>,314 M
GIL,28.16,<empty>,"5,584 M"
GIM,5.51,<empty>,739 M
GIS,58.60,15.901,"35,830 M"
GIX,10.44,-37.921,232 M
GL,91.75,14.09,"9,603 M"
GLG,1.67,-3.427,119 M
GLO,11.18,<empty>,360 M
GLP,16.92,6.7128,575 M
GLQ,13.88,<empty>,184 M
GLT,16.84,-26.598,747 M
GLV,10.15,<empty>,85 M
GLW,36.07,142.96,"27,558 M"
GM,40.90,18.37,"58,540 M"
GME,19.46,-3.6199,"1,357 M"
GMS,30.00,51.094,"1,280 M"
GNE,7.75,17.957,203 M
GNK,7.17,-1.8974,300 M
GNL,16.84,109.33,"1,507 M"
GNT,5.05,<empty>,101 M
GNW,4.12,-20.242,"2,083 M"
GO,39.42,41.337,"3,711 M"
GOF,19.18,<empty>,848 M
GOL,8.94,-1.4865,"1,582 M"
GP,20.64,<empty>,425 M
GPC,98.64,-75.363,"14,233 M"
GPI,119.72,9.3114,"2,193 M"
GPK,16.56,34.714,"4,484 M"
GPL,.8443,<empty>,299 M
GPM,6.35,-6.3119,307 M
GPN,197.83,105.93,"59,218 M"
GPS,20.07,-7.1589,"7,507 M"
GPX,10.75,23.562,184 M
GRA,54.21,268.96,"3,588 M"
GRX,11.73,<empty>,212 M
GS,250.09,14.046,"86,048 M"
GSK,36.09,11.115,"90,540 M"
GSL,11.14,5.754,203 M
GSM,1.58,-1.5634,267 M
GSS,3.75,<empty>,417 M
GSV,.7255,<empty>,229 M
GSX,53.06,272.04,"12,652 M"
GT,10.01,-1.4281,"2,334 M"
GTE,.3303,<empty>,121 M
GTH,13.27,-.82595,"1,173 M"
GTN,16.67,7.3663,"1,603 M"
GTS,21.26,9.2196,498 M
GTT,3.50,-1.5128,206 M
GTY,28.90,24.507,"1,237 M"
GUT,7.99,<empty>,439 M
GV,6.99,21.374,171 M
GVA,26.84,-11.922,"1,255 M"
GVP,1.40,-1.6995,29 M
GWB,18.70,-1.6329,"1,029 M"
GWW,410.33,35.147,"22,022 M"
H,71.32,-38.058,"7,216 M"
HA,17.23,-2.8031,793 M
HAE,119.45,58.04,"6,065 M"
HAL,19.12,-3.9632,"16,902 M"
HAS,92.38,31.972,"12,659 M"
HBI,14.07,11.869,"4,901 M"
HBM,6.61,<empty>,"1,727 M"
HCA,163.27,16.641,"55,246 M"
HCC,20.18,52.107,"1,033 M"
HCM,29.28,-34.809,"4,261 M"
HD,270.04,23.385,"290,725 M"
HDB,68.42,32.028,"125,611 M"
HDS,55.87,42.499,"8,669 M"
HE,34.85,19.008,"3,805 M"
HEC,10.58,<empty>,548 M
HEI,129.09,54.184,"17,420 M"
HEP,14.01,9.1102,"1,477 M"
HEQ,11.30,<empty>,138 M
HES,52.09,-5.2953,"15,996 M"
HFC,24.32,-9.5882,"3,940 M"
HGH,27.93,<empty>,0
HGV,30.08,106.34,"2,560 M"
HHC,80.80,-200.76,"4,438 M"
HHR,30.82,59.879,"1,551 M"
HI,38.35,-45.909,"2,868 M"
HIE,7.66,<empty>,143 M
HIG,47.64,9.9756,"17,071 M"
HII,163.63,11.632,"6,626 M"
HIL,1.86,18.577,105 M
HIO,4.99,<empty>,633 M
HIW,39.14,12.932,"4,067 M"
HIX,6.87,<empty>,579 M
HL,5.90,-121.18,"3,133 M"
HLF,47.40,<empty>,"5,765 M"
HLI,67.93,22.441,"4,710 M"
HLT,102.95,-90.465,"28,563 M"
HLX,4.03,40.37,605 M
HMC,28.81,21.463,"49,744 M"
HMI,11.90,15.572,737 M
HMN,40.75,15.413,"1,688 M"
HMY,4.61,-47.213,"2,754 M"
HNI,34.24,22.57,"1,463 M"
HOG,36.33,49.445,"5,569 M"
HON,207.94,31.181,"145,909 M"
HOV,36.91,4.6916,227 M
HP,24.05,-5.4163,"2,588 M"
HPE,11.61,-48.706,"15,018 M"
HPF,18.64,<empty>,398 M
HPI,19.50,<empty>,511 M
HPK,19.30,-12.92,"1,769 M"
HPP,24.00,172.15,"3,651 M"
HPQ,24.16,12.213,"31,158 M"
HPR,9.95,-.04102,43 M
HPS,16.99,<empty>,539 M
HQH,23.46,4.2343,"1,029 M"
HQL,19.98,3.8604,477 M
HQY,68.00,1495.1,"5,235 M"
HR,29.61,34.874,"4,029 M"
HRB,15.16,16.221,"2,781 M"
HRC,96.31,30.276,"6,435 M"
HRI,63.96,24.459,"1,869 M"
HRL,47.03,28.856,"25,392 M"
HSC,16.79,68.696,"1,325 M"
HST,13.62,-16.881,"9,607 M"
HSY,148.62,26.473,"30,934 M"
HT,7.76,-2.0577,301 M
HTA,27.70,178.6,"6,054 M"
HTD,21.19,<empty>,750 M
HTH,26.75,6.5266,"2,414 M"
HTY,5.46,<empty>,60 M
HUM,388.44,12.546,"51,407 M"
HUN,25.35,5.8874,"5,597 M"
HVT,27.90,14.972,508 M
HWC,32.61,-45.94,"2,818 M"
HWM,26.46,27.251,"11,473 M"
HX,2.40,-.56607,42 M
HXL,47.32,32.971,"3,953 M"
HYB,8.70,-42.084,203 M
HYI,15.12,-75.11,342 M
HYT,11.33,<empty>,"1,381 M"
HZN,9.36,-3.6693,245 M
HZO,36.95,10.619,816 M
IAA,64.42,49.351,"8,662 M"
IAC,183.73,-93.35,"15,679 M"
IAG,3.48,<empty>,"1,649 M"
IBM,123.61,14.045,"110,144 M"
IBN,13.66,24.714,"47,150 M"
IBP,109.49,36.017,"3,263 M"
ICD,3.08,-.15102,19 M
ICE,113.16,31.094,"63,515 M"
ICL,4.54,<empty>,"5,814 M"
ID,5.18,<empty>,0
IDA,94.44,19.427,"4,766 M"
IDE,10.70,<empty>,204 M
IDN,9.71,-289.79,179 M
IDT,12.39,11.251,316 M
IEA,16.00,26.709,365 M
IEC,10.64,16.376,112 M
IEP,50.66,-5.7564,"11,757 M"
IEX,196.39,40.556,"14,868 M"
IFF,114.96,35.158,"12,294 M"
IFN,19.43,<empty>,523 M
IGA,8.81,<empty>,161 M
IGC,1.78,-8.9665,76 M
IGD,5.21,<empty>,504 M
IGR,6.67,<empty>,778 M
IGT,16.14,-4.0723,"3,306 M"
IH,21.15,735.71,"1,106 M"
IHD,7.33,<empty>,140 M
IHG,61.37,29.299,"11,210 M"
IHT,2.01,-12.046,18 M
III,2.99,47.234,144 M
IIM,15.40,36.901,725 M
IMH,2.72,-.63277,58 M
IMO,18.26,<empty>,"13,404 M"
IMV,2.90,<empty>,195 M
ING,9.17,12.04,"35,769 M"
INM,3.06,<empty>,21 M
INN,8.78,-8.9571,928 M
INO,9.90,-7.8041,"1,677 M"
INT,30.08,11.805,"1,910 M"
IO,2.27,-.8894,34 M
IP,49.40,39.897,"19,419 M"
IPG,23.06,16.588,"8,994 M"
IPI,15.22,-8.5027,202 M
IPV,18.67,441.47,580 M
IQ,16.97,-10.443,"12,617 M"
IQI,12.67,35.5,670 M
IQV,176.98,199.95,"33,932 M"
IR,45.56,-120.22,"19,028 M"
IRM,29.59,63.924,"8,527 M"
IRR,2.67,<empty>,60 M
IRT,13.37,47.888,"1,268 M"
ISD,15.03,<empty>,500 M
ISR,.4490,-8.9177,39 M
IT,156.43,66.307,"13,967 M"
ITI,5.66,-99.964,233 M
ITP,.5791,<empty>,17 M
ITT,76.19,44.118,"6,583 M"
ITW,202.39,30.91,"64,061 M"
IVC,8.27,-6.8749,285 M
IVH,12.83,-52.314,213 M
IVR,3.21,-.31674,582 M
IVZ,16.98,16.287,"7,800 M"
J,106.11,28.766,"13,792 M"
JAN,3.95,-.62486,7.2 M
JBL,42.64,122.2,"6,416 M"
JBT,117.54,31.871,"3,729 M"
JCI,45.64,55.224,"33,039 M"
JCO,8.02,<empty>,222 M
JD,82.79,30.279,"128,314 M"
JE,4.77,<empty>,229 M
JEF,22.93,10.902,"5,828 M"
JFR,8.72,<empty>,496 M
JFU,1.33,-.42157,260 M
JG,4.79,-16.54,554 M
JGH,15.11,-11.31,350 M
JHB,9.19,-40.318,514 M
JHG,31.80,<empty>,"5,769 M"
JIH,11.00,-279.64,474 M
JKS,78.52,19.053,"3,556 M"
JLL,149.07,17.661,"7,648 M"
JNJ,152.72,24.736,"402,042 M"
JOB,1.02,.85788,18 M
JOE,45.41,72.832,"2,674 M"
JOF,8.88,<empty>,252 M
JPC,9.31,<empty>,962 M
JPM,121.67,11.149,"370,875 M"
JPS,9.53,<empty>,"1,942 M"
JQC,6.16,<empty>,835 M
JRI,13.41,<empty>,368 M
JRO,8.62,<empty>,349 M
JRS,8.26,<empty>,239 M
JT,2.89,-8.9733,61 M
JTA,9.34,<empty>,129 M
JWN,29.33,-8.9117,"4,625 M"
JWS,13.95,<empty>,"1,203 M"
K,61.19,17.488,"21,032 M"
KAR,18.10,93.294,"2,339 M"
KB,39.83,5.1923,"15,718 M"
KBH,35.58,10.671,"3,481 M"
KBR,29.62,-141.27,"4,222 M"
KC,42.16,-40.371,"9,192 M"
KDP,31.07,33.732,"43,723 M"
KEP,11.85,195.62,"15,215 M"
KEX,49.89,-10.281,"2,995 M"
KEY,15.74,13.437,"15,370 M"
KFY,43.47,145.19,"2,345 M"
KGC,7.20,<empty>,"9,060 M"
KHC,34.39,-85.882,"42,046 M"
KIM,14.39,7.2599,"6,224 M"
KIN,4.68,-6.0637,185 M
KIO,14.28,<empty>,290 M
KIQ,.5300,<empty>,25 M
KKR,39.49,23.177,"22,477 M"
KL,41.08,<empty>,"11,214 M"
KLR,9.24,<empty>,271 M
KMB,132.67,19.62,"45,126 M"
KMF,5.57,<empty>,263 M
KMI,13.78,295.24,"31,195 M"
KMT,37.61,-75.913,"3,132 M"
KMX,92.33,23.557,"15,150 M"
KN,17.95,-488.18,"1,646 M"
KNL,13.46,40.575,682 M
KNX,42.38,21.47,"7,197 M"
KO,52.76,27.87,"226,733 M"
KOD,151.71,-60.587,"7,703 M"
KOF,44.49,22.31,"9,347 M"
KOP,28.73,6.5884,605 M
KOR,2.36,<empty>,293 M
KOS,2.17,<empty>,880 M
KR,30.89,8.1401,"23,518 M"
KRA,25.94,-3.777,827 M
KRC,55.89,34.891,"6,441 M"
KRG,14.64,213.93,"1,233 M"
KRO,15.04,27.964,"1,738 M"
KRP,7.96,-1.5227,475 M
KSS,38.20,-25,"6,022 M"
KSU,195.97,32.721,"18,343 M"
KT,11.16,10.065,"5,477 M"
KTB,41.26,51.048,"2,360 M"
KTF,11.34,88.68,448 M
KW,17.65,30.893,"2,502 M"
KWR,250.38,488.93,"4,465 M"
KYN,5.75,-.72822,727 M
KZR,5.50,-4.4132,254 M
L,43.05,-11.044,"11,833 M"
LAC,11.35,<empty>,"1,196 M"
LAD,279.28,18.843,"7,408 M"
LAZ,39.95,<empty>,"4,196 M"
LB,38.00,-51.288,"10,568 M"
LC,8.46,-4.057,662 M
LCA,23.86,<empty>,943 M
LCI,6.30,-9.014,263 M
LCY,10.18,<empty>,655 M
LDL,30.13,-3.7621,534 M
LDP,25.66,-108.98,742 M
LE,19.15,42.165,624 M
LEA,158.83,121.02,"9,536 M"
LEE,1.18,-20.579,69 M
LEG,41.29,24.584,"5,472 M"
LEN,80.34,10.147,"25,125 M"
LEO,8.30,<empty>,516 M
LEU,25.30,9.1765,305 M
LFC,10.72,8.4229,"60,600 M"
LH,203.39,23.773,"19,810 M"
LHX,184.11,27.426,"38,684 M"
LI,31.29,-88.38,"28,086 M"
LII,272.82,29.982,"10,446 M"
LIN,253.46,61.354,"133,030 M"
LKQ,35.98,18.484,"10,950 M"
LL,34.84,20.526,"1,006 M"
LLY,166.72,28.241,"159,481 M"
LMB,13.55,16.134,107 M
LMT,347.92,15.34,"97,342 M"
LNC,47.97,12.457,"9,271 M"
LNG,57.58,14.292,"14,526 M"
LNN,125.10,35.228,"1,359 M"
LNT,50.175,19.057,"12,532 M"
LOB,47.85,55.542,"1,945 M"
LOV,4.70,-10.414,122 M
LOW,164.61,23.048,"120,614 M"
LPG,11.22,7.7124,571 M
LPI,19.44,-.2497,233 M
LPL,7.79,-2.6366,"5,575 M"
LPX,37.57,22.001,"4,107 M"
LRN,22.49,19.8,934 M
LSF,51.41,-28.147,456 M
LSI,119.27,35.598,"5,796 M"
LTC,39.11,17.439,"1,535 M"
LU,13.85,19.019,"33,768 M"
LUV,45.32,-15.441,"26,751 M"
LVS,56.25,-57.711,"42,965 M"
LW,77.34,34.089,"11,318 M"
LX,6.44,12.835,"1,165 M"
LXP,10.85,17.531,"3,005 M"
LXU,2.70,-.75889,79 M
LYB,89.81,<empty>,"29,989 M"
LYG,1.8100,10.238,"32,050 M"
LYL,2.35,-21.122,27 M
LYV,72.01,-10.551,"15,368 M"
LZB,40.28,24.186,"1,859 M"
M,10.13,-.8616,"3,145 M"
MA,332.24,51.288,"331,218 M"
MAA,125.28,45.393,"14,328 M"
MAC,10.33,-103.15,"1,544 M"
MAG,17.70,<empty>,"1,677 M"
MAN,90.36,64.355,"5,199 M"
MAR,126.26,243.89,"40,950 M"
MAS,56.63,10.286,"14,819 M"
MAT,17.53,-1680.9,"6,101 M"
MAV,11.61,18.801,277 M
MAX,44.61,1.5395,"2,619 M"
MBI,6.84,-.63382,369 M
MBT,8.75,11.253,"7,752 M"
MC,46.48,35.452,"2,578 M"
MCA,14.88,<empty>,512 M
MCD,211.92,32.818,"157,904 M"
MCF,2.35,-.6268,408 M
MCK,170.01,13.487,"27,298 M"
MCN,6.75,5.7101,141 M
MCO,281.27,29.47,"52,823 M"
MCR,8.41,<empty>,373 M
MCS,11.70,-4.1497,363 M
MCY,51.42,11.809,"2,846 M"
MD,24.34,-2.7735,"2,083 M"
MDB,396.00,-86.296,"23,865 M"
MDC,51.29,10.644,"3,327 M"
MDP,18.49,-2.0461,843 M
MDT,114.63,44.992,"154,294 M"
MDU,25.50,13.863,"5,113 M"
MED,194.65,25.07,"2,291 M"
MEG,31.51,-4.4126,787 M
MEI,37.15,11.059,"1,394 M"
MEN,11.68,-57.204,347 M
MET,45.21,7.4672,"40,687 M"
MFA,3.82,-2.6959,"1,732 M"
MFC,17.20,<empty>,"33,365 M"
MFG,2.54,.91321,"32,199 M"
MFH,3.65,-17.166,30 M
MFL,13.94,39.668,528 M
MFM,6.59,-17.084,271 M
MFO,25.42,<empty>,0
MG,7.83,-2.2194,229 M
MGA,66.36,<empty>,"19,859 M"
MGF,4.57,<empty>,149 M
MGI,6.84,-19.941,496 M
MGM,30.35,11.258,"14,991 M"
MGP,31.71,62.231,"9,623 M"
MGY,7.03,-1.0136,"1,767 M"
MHI,12.10,52.281,276 M
MHK,135.67,18.562,"9,660 M"
MHO,47.49,6.9855,"1,365 M"
MIC,36.21,-3.6823,"3,157 M"
MIE,2.31,<empty>,62 M
MIK,11.93,8.0096,"1,761 M"
MIN,3.75,<empty>,435 M
MKC,92.96,33.037,"24,804 M"
MKD,.860,-3.3368,111 M
MLI,34.51,15.261,"1,970 M"
MLM,273.30,25.795,"17,020 M"
MMC,114.40,29.226,"58,023 M"
MMI,36.91,37.164,"1,453 M"
MMM,174.78,20.678,"100,817 M"
MMP,43.12,10.96,"9,633 M"
MMS,71.73,21.656,"4,408 M"
MMT,6.07,<empty>,372 M
MMU,12.79,-110.21,555 M
MMX,5.27,<empty>,740 M
MN,5.80,77.173,98 M
MNR,17.59,-34.276,"1,725 M"
MO,42.55,93.593,"79,076 M"
MOD,12.33,-113.45,631 M
MOH,205.73,15.127,"12,200 M"
MOS,21.87,-8.107,"8,291 M"
MOV,16.86,-2.9874,391 M
MP,39.14,<empty>,"6,103 M"
MPC,39.67,-2.7081,"25,811 M"
MPW,21.57,24.325,"11,561 M"
MRC,6.50,-1.78,535 M
MRK,79.42,17.497,"200,935 M"
MRO,6.31,-4.7054,"4,981 M"
MS,66.64,10.833,"120,565 M"
MSA,146.82,42.034,"5,719 M"
MSI,167.45,38.114,"28,387 M"
MSM,85.61,18.928,"4,778 M"
MSN,1.0100,-4.5573,21 M
MSP,30.24,206.38,"4,867 M"
MT,23.05,8.623,"24,375 M"
MTA,11.43,<empty>,448 M
MTB,121.14,12.347,"15,541 M"
MTC,1.65,-16.453,34 M
MTD,1125.53,48.007,"26,781 M"
MTG,12.33,9.4516,"4,175 M"
MTH,86.85,9.0372,"3,267 M"
MTL,1.63,-1.0334,444 M
MTN,271.39,227.2,"10,924 M"
MTP,1.79,-.31774,23 M
MTW,12.91,-39.959,446 M
MTX,60.29,18.849,"2,049 M"
MTZ,68.80,15.853,"5,082 M"
MU,70.44,29.687,"78,675 M"
MUC,14.82,<empty>,608 M
MUI,14.82,-59.281,568 M
MUJ,14.39,<empty>,433 M
MUR,11.50,-1.7731,"1,766 M"
MUX,1.01,-2.6355,413 M
MVF,9.09,50.05,589 M
MVO,2.93,4.8853,34 M
MWA,11.95,26.72,"1,892 M"
MWK,16.22,-4.1244,424 M
MX,13.08,1.5291,465 M
MXL,35.47,-30.044,"2,631 M"
MYE,19.31,17.738,692 M
MYI,13.97,18.669,952 M
MYJ,14.11,<empty>,341 M
MYN,13.07,<empty>,517 M
MYO,6.97,-.8343,32 M
MYT,1.70,<empty>,14 M
NAC,15.10,39.83,"2,185 M"
NAD,15.04,-313.74,"3,183 M"
NAK,.3276,<empty>,167 M
NAT,3.08,<empty>,466 M
NAV,43.96,-12.665,"4,378 M"
NBR,57.06,-.44339,416 M
NBY,.6301,-1.438,26 M
NCR,35.33,10.931,"4,554 M"
NCV,5.66,<empty>,512 M
NCZ,5.06,<empty>,385 M
NEA,14.85,144.45,"4,137 M"
NEE,74.71,37.382,"146,362 M"
NEM,59.41,18.591,"47,728 M"
NEO,56.47,-1186.5,"6,270 M"
NEP,67.71,-52.683,"4,943 M"
NES,3.00,-.39965,47 M
NET,86.56,-175.25,"26,600 M"
NEW,6.99,-51.79,609 M
NEX,3.45,-1.6862,740 M
NFE,53.54,-20.636,"9,328 M"
NFG,42.00,-30.462,"3,821 M"
NFH,8.75,-18.258,"1,149 M"
NFJ,13.20,<empty>,"1,251 M"
NG,10.01,<empty>,"3,302 M"
NGA,15.70,<empty>,627 M
NGD,2.16,<empty>,"1,461 M"
NGG,56.79,21.156,"39,985 M"
NGL,2.62,-1.0896,337 M
NGM,30.16,-21.012,"2,082 M"
NGS,10.07,128,136 M
NH,3.56,-6.005,396 M
NHF,10.47,-4.1776,478 M
NHI,70.05,16.431,"3,133 M"
NHS,11.45,<empty>,224 M
NI,21.71,-28.727,"8,320 M"
NID,13.75,-121.11,645 M
NIE,28.00,6.3638,776 M
NIM,10.66,<empty>,133 M
NIO,47.58,-42.627,"74,173 M"
NIU,30.07,102.83,"2,248 M"
NJR,34.37,16.994,"3,304 M"
NK,17.61,-13.673,"1,912 M"
NKE,142.45,81.502,"223,622 M"
NKX,15.69,<empty>,746 M
NLS,22.09,16.257,668 M
NLY,8.33,-16.794,"11,647 M"
NM,2.26,<empty>,36 M
NML,3.42,-.91149,194 M
NMM,9.11,<empty>,103 M
NMR,5.11,6.9417,"15,625 M"
NMZ,14.20,-15.204,"1,144 M"
NNA,3.03,1.2295,52 M
NNN,41.26,32.739,"7,168 M"
NOA,9.31,<empty>,271 M
NOC,296.32,20.702,"49,401 M"
NOG,8.54,-.44228,392 M
NOK,3.88,25.999,"21,794 M"
NOV,13.09,-1.8869,"5,082 M"
NOW,561.72,159.82,"109,592 M"
NP,55.32,-90.458,930 M
NPA,12.04,87.684,346 M
NPO,74.73,8.206,"1,535 M"
NQP,14.07,<empty>,526 M
NR,1.96,-2.3916,178 M
NRG,34.55,2.0504,"8,438 M"
NRK,13.36,69.062,"1,165 M"
NRO,4.40,<empty>,209 M
NRZ,9.93,-3.1294,"4,128 M"
NS,15.01,-6.1744,"1,639 M"
NSA,35.75,72.735,"2,474 M"
NSC,230.50,29.982,"58,544 M"
NSL,5.12,<empty>,198 M
NSP,85.40,22.161,"3,275 M"
NSS,21.24,<empty>,0
NTB,30.10,10.685,"1,508 M"
NTG,21.32,-.21171,135 M
NTN,2.03,-1.0483,6 M
NTP,4.81,<empty>,278 M
NTR,46.51,<empty>,"26,471 M"
NUE,53.09,38.172,"16,029 M"
NUS,52.56,17.798,"2,682 M"
NUV,11.17,29.613,"2,312 M"
NVG,16.36,-61.575,"3,491 M"
NVO,70.62,26.656,"163,357 M"
NVS,88.18,27.842,"200,565 M"
NVT,22.63,-79.183,"3,850 M"
NWE,56.45,17.561,"2,855 M"
NWG,4.19,25.629,"25,410 M"
NWL,21.08,-82.275,"8,944 M"
NWN,46.19,23.598,"1,412 M"
NWS,17.52,-10.088,"10,347 M"
NX,22.46,104.86,737 M
NXE,2.73,<empty>,"1,029 M"
NXJ,14.17,<empty>,588 M
NXQ,15.58,28.467,276 M
NYC,7.66,-3.6296,98 M
NYT,49.32,51.962,"8,247 M"
NZF,15.83,-29.726,"2,250 M"
O,60.93,49.461,"21,386 M"
OAC,13.44,-1075.9,338 M
OAS,38.50,-2.7047,770 M
OC,77.45,-15.393,"8,383 M"
OCG,5.87,28.845,119 M
OCN,30.16,37.696,262 M
OCX,2.55,-4.8219,171 M
ODP,28.21,-5.317,"1,486 M"
ODT,15.26,-3.6245,588 M
OEC,15.50,35.164,938 M
OEG,1.36,-1.4675,41 M
OFC,25.88,49.824,"2,903 M"
OFG,17.12,20.88,879 M
OFS,7.57,-14.391,101 M
OGE,30.69,-32.242,"6,139 M"
OGI,1.37,<empty>,318 M
OGS,75.92,22.04,"4,031 M"
OHI,37.12,54.928,"8,426 M"
OI,11.02,5.9314,"1,732 M"
OIA,7.65,183.51,364 M
OII,7.89,-1.0456,784 M
OIS,4.81,-.49358,294 M
OKE,38.63,26.919,"17,167 M"
OLB,4.90,-13.201,30 M
OLN,25.72,-4.0121,"4,060 M"
OLP,19.21,14.752,395 M
OM,54.00,-26.655,"2,306 M"
OMC,59.79,13.924,"12,853 M"
OMF,46.16,9.716,"6,200 M"
OMI,30.22,-29.105,"2,222 M"
OMP,12.21,116.66,413 M
ON,31.85,64.96,"13,097 M"
ONB,15.92,13.467,"2,632 M"
ONE,3.64,-5.3291,586 M
OPI,22.54,15.189,"1,089 M"
OPK,4.56,-25.072,"3,055 M"
OPP,14.33,<empty>,199 M
OPY,31.43,6.6554,393 M
OR,12.15,<empty>,"2,028 M"
ORA,85.08,57.495,"4,751 M"
ORC,5.30,66.322,385 M
ORI,18.76,18.115,"5,704 M"
ORN,4.95,9.0336,151 M
OSB,42.75,<empty>,"3,450 M"
OSG,2.0300,4.6456,175 M
OSH,63.70,-77.012,"15,341 M"
OSK,83.86,18.177,"5,728 M"
OSS,2.99,56.188,50 M
OSW,9.09,-2.6443,772 M
OUT,19.16,-85.398,"2,767 M"
OVV,13.82,<empty>,"3,591 M"
OXM,62.68,-14.829,"1,058 M"
OXY,16.92,-1.0628,"15,756 M"
OZK,30.57,14.257,"3,954 M"
PAA,8.78,-2.5981,"6,396 M"
PAE,8.92,<empty>,821 M
PAG,56.01,10.346,"4,500 M"
PAM,13.61,8.8825,792 M
PAR,65.11,-39.727,"1,425 M"
PB,67.87,12.562,"6,282 M"
PBA,23.94,<empty>,"13,166 M"
PBF,6.60,-.78127,793 M
PBH,34.60,11.229,"1,734 M"
PBI,5.45,-30.636,943 M
PBR,10.83,-9.4822,"70,634 M"
PBT,3.33,11.126,155 M
PCF,8.53,<empty>,47 M
PCG,12.44,-1.4695,"24,688 M"
PCH,49.07,42.88,"3,281 M"
PCI,20.69,-7.2429,"3,029 M"
PCK,8.95,<empty>,288 M
PCN,17.00,<empty>,681 M
PD,46.66,-60.092,"3,823 M"
PDD,139.02,-154.18,"170,484 M"
PDI,26.32,-9.4623,"1,745 M"
PDM,16.01,5.391,"2,018 M"
PDS,15.79,<empty>,216 M
PDT,14.03,<empty>,683 M
PE,13.50,-1.4188,"5,684 M"
PEB,17.79,-10.335,"2,329 M"
PED,1.16,-7.1863,84 M
PEG,56.39,15.075,"28,525 M"
PEI,.9955,-.75549,79 M
PEN,187.23,-254.03,"6,799 M"
PEO,11.25,<empty>,335 M
PEP,144.02,29.017,"199,029 M"
PFC,22.19,14.492,828 M
PFE,36.74,27.645,"204,215 M"
PFG,47.40,10.862,"13,022 M"
PFH,26.02,<empty>,0
PFL,11.18,<empty>,361 M
PFN,9.74,-20.196,710 M
PFS,17.35,13.94,"1,363 M"
PG,136.55,26.583,"337,204 M"
PGC,21.62,12.134,409 M
PGR,97.99,11.248,"57,354 M"
PH,267.58,29.724,"34,464 M"
PHD,10.46,<empty>,259 M
PHG,53.52,37.075,"48,675 M"
PHI,27.44,11.369,"5,929 M"
PHK,5.98,<empty>,793 M
PHM,45.41,9.4264,"12,174 M"
PHR,57.75,-79.474,"2,550 M"
PHT,8.98,-19.47,263 M
PHX,2.16,-1.7826,48 M
PI,43.16,-21.166,996 M
PIC,19.54,<empty>,562 M
PII,100.59,261.02,"6,206 M"
PIM,4.13,<empty>,212 M
PJT,77.98,21.27,"2,993 M"
PK,16.57,-3.6523,"3,904 M"
PKE,13.07,35.981,266 M
PKG,133.81,27.068,"12,689 M"
PKI,139.86,38.6,"15,661 M"
PKO,24.83,-15.849,472 M
PKX,60.31,22.916,"19,213 M"
PLD,97.65,43.224,"72,185 M"
PLG,4.90,<empty>,374 M
PLL,31.15,<empty>,432 M
PLM,3.79,<empty>,382 M
PLT,25.34,-1.1835,"1,045 M"
PLX,3.47,-15.325,116 M
PM,82.19,17.458,"127,996 M"
PME,2.1400,30.048,170 M
PML,14.35,<empty>,903 M
PMM,7.85,-23.395,384 M
PMO,13.53,-97.238,462 M
PMT,17.95,359.6,"1,773 M"
PNC,143.73,23.897,"60,899 M"
PNM,48.89,20.036,"4,196 M"
PNR,52.60,24.888,"8,750 M"
PNW,77.78,17.42,"8,758 M"
POR,41.42,22.828,"3,708 M"
PPC,19.15,26.185,"4,664 M"
PPD,35.99,223.85,"12,584 M"
PPG,144.70,32.056,"34,179 M"
PPL,26.33,13.367,"20,243 M"
PPR,4.48,<empty>,651 M
PPT,4.52,<empty>,463 M
PQG,13.68,41.7,"1,865 M"
PRA,17.31,-4.0492,933 M
PRG,54.05,-15.748,"3,651 M"
PRI,133.02,14.616,"5,228 M"
PRO,49.70,-27.771,"2,159 M"
PRU,75.00,-258.29,"29,700 M"
PS,20.40,-17.801,"3,008 M"
PSA,232.19,35.266,"40,592 M"
PSB,131.33,28.663,"3,610 M"
PSN,34.82,40.197,"3,507 M"
PSO,8.94,20.792,"6,733 M"
PSX,67.51,-10.985,"29,488 M"
PT,1.0800,-.3113,47 M
PTA,25.58,<empty>,0
PTC,120.02,105.32,"14,002 M"
PTE,.6199,-.36653,24 M
PTI,1.11,-1.5122,58 M
PTN,.5650,-4.7389,130 M
PTR,29.92,20.833,"54,760 M"
PTY,17.72,<empty>,"1,882 M"
PUK,35.44,-36.604,"46,240 M"
PVG,11.04,<empty>,"2,067 M"
