Watchlist 'nyse4'

nyse4
Symbol,Last,Price / Earnings Ratio - Current,Market Cap
BB,7.19,<empty>,"4,045 M"
BBD,5.23,16.984,"46,210 M"
BBI,.7075,-.15618,38 M
BBL,52.32,16.286,"132,309 M"
BBN,27.27,10.712,"1,559 M"
BBW,4.13,-2.3997,66 M
BBY,104.13,15.637,"26,964 M"
BC,82.59,18.906,"6,470 M"
BCC,49.06,11.884,"1,923 M"
BCE,42.33,<empty>,"38,280 M"
BCH,20.60,16.01,"10,405 M"
BCO,70.23,-304.57,"3,472 M"
BCS,7.73,13.001,"33,544 M"
BCX,7.16,-4.9507,645 M
BDC,40.78,-8.4085,"1,819 M"
BDJ,8.35,<empty>,"1,566 M"
BDN,11.77,6.7207,"2,008 M"
BDR,1.17,-1.3504,14 M
BDX,245.90,92.817,"71,520 M"
BE,30.32,-12.754,"5,039 M"
BEN,24.55,15.716,"12,388 M"
BEP,41.09,<empty>,"11,292 M"
BFI,14.97,-70.259,115 M
BFT,14.68,<empty>,"2,692 M"
BFZ,14.06,<empty>,444 M
BG,64.09,19.795,"8,951 M"
BGB,12.37,-9.8095,552 M
BGH,14.82,<empty>,297 M
BGI,.8288,-1.5614,15 M
BGR,6.96,<empty>,208 M
BGS,31.00,14.684,"1,992 M"
BGT,11.74,<empty>,265 M
BGX,13.30,<empty>,169 M
BGY,5.74,<empty>,602 M
BHC,19.98,<empty>,"7,096 M"
BHE,26.10,-4537.1,952 M
BHF,33.63,-3.3419,"3,010 M"
BHK,16.21,-39.293,874 M
BHP,64.63,19.403,"163,447 M"
BHR,4.25,-1.9225,156 M
BIF,11.01,<empty>,"1,082 M"
BIG,44.16,2.8171,"1,639 M"
BIO,583.48,5.1876,"17,406 M"
BIP,49.54,<empty>,"14,632 M"
BIT,16.95,-7.8101,636 M
BJ,38.64,14.509,"5,305 M"
BK,40.28,8.9593,"35,694 M"
BKD,4.24,21.984,778 M
BKE,28.99,13.202,"1,432 M"
BKH,60.10,17.155,"3,771 M"
BKI,88.77,59.851,"13,939 M"
BKR,21.19,-1.3292,"21,937 M"
BKT,6.10,<empty>,389 M
BKU,33.40,15.968,"3,086 M"
BL,140.28,-192.11,"8,032 M"
BLD,198.78,29.531,"6,565 M"
BLI,106.00,-230.3,"6,823 M"
BLK,693.52,23.225,"105,769 M"
BLL,92.49,59.29,"30,255 M"
BLU,3.07,<empty>,240 M
BLW,15.83,<empty>,566 M
BLX,15.22,<empty>,604 M
BMA,15.31,2.4217,978 M
BMI,91.50,54.679,"2,664 M"
BMO,74.87,<empty>,"48,407 M"
BMY,61.43,-345.27,"138,817 M"
BNL,19.52,42.671,"2,826 M"
BNR,24.95,-49.802,"2,590 M"
BNS,52.65,<empty>,"63,796 M"
BOE,10.59,<empty>,688 M
BOH,75.87,18.118,"3,039 M"
BOX,19.94,-41.985,"3,163 M"
BP,20.48,-3.3217,"69,302 M"
BPT,2.78,4.307,59 M
BPY,14.48,-49.388,"13,490 M"
BQ,6.24,-10.91,566 M
BR,148.48,38.084,"17,167 M"
BRC,48.23,24.195,"2,509 M"
BRG,11.30,-8.4896,269 M
BRN,1.18,-2.0885,9.8 M
BRO,45.69,28.464,"12,979 M"
BRP,30.47,-80.925,"3,388 M"
BRT,14.91,-27.12,256 M
BRX,15.95,30.118,"4,729 M"
BRY,3.635,-1.4963,291 M
BSM,6.84,13.083,"1,414 M"
BSN,9.95,<empty>,380 M
BST,53.78,5.7773,"1,300 M"
BSX,34.36,-120.13,"48,661 M"
BSY,38.86,88.396,"10,554 M"
BTG,5.52,<empty>,"5,799 M"
BTI,36.54,10.526,"83,832 M"
BTO,29.77,<empty>,558 M
BTT,25.15,17.193,"1,773 M"
BTU,1.91,-.10178,187 M
BTZ,14.92,8.7114,"1,395 M"
BUD,69.65,-182.38,"137,311 M"
BUR,9.35,<empty>,"2,048 M"
BV,14.81,-36.908,"1,553 M"
BVN,11.96,-26.577,"3,038 M"
BW,3.44,49.01,179 M
BWA,39.11,22.058,"9,563 M"
BWG,12.28,<empty>,258 M
BX,64.84,56.807,"44,997 M"
BXC,29.83,5.3688,282 M
BXP,92.89,15.003,"14,459 M"
BXS,27.10,13.183,"2,780 M"
BY,15.50,15.397,598 M
BYD,42.55,-24.997,"4,746 M"
BZH,16.18,9.1806,506 M
C,59.26,11.564,"123,377 M"
CAE,26.14,<empty>,"7,383 M"
CAF,21.19,<empty>,464 M
CAG,35.99,21.007,"17,582 M"
CAH,53.63,16.55,"15,736 M"
CAI,32.31,44.992,573 M
CAJ,19.65,35.655,"20,549 M"
CAL,13.17,-1.3756,499 M
CAN,4.14,-4.768,648 M
CAR,34.67,-5.5634,"2,416 M"
CAT,176.58,30.242,"95,929 M"
CB,150.17,30.283,"67,782 M"
CBB,15.22,-9.5469,771 M
CBD,13.96,<empty>,"3,743 M"
CBT,43.82,-10.23,"2,480 M"
CBU,61.26,20.742,"3,280 M"
CBZ,25.81,18.728,"1,407 M"
CC,26.68,-37.669,"4,389 M"
CCC,30.49,-49.948,"18,476 M"
CCI,153.49,96.485,"66,200 M"
CCJ,13.15,<empty>,"5,205 M"
CCK,97.35,25.167,"13,119 M"
CCL,19.81,-2.0588,"21,871 M"
CCM,3.11,-3.7425,135 M
CCO,1.61,-1.3392,752 M
CCR,4.82,-37.268,133 M
CCS,46.84,9.3,"1,562 M"
CCU,15.03,22.456,"2,777 M"
CCX,10.27,-1749.1,"1,297 M"
CD,19.00,-274.58,"6,825 M"
CDE,9.51,-8.2351,"2,318 M"
CDK,50.76,34.371,"6,177 M"
CDR,9.35,-4.4639,127 M
CDW,130.75,26.511,"18,696 M"
CE,130.21,27.387,"15,221 M"
CEI,.8138,-.19507,20 M
CEM,17.57,-.47116,247 M
CEN,9.65,<empty>,48 M
CEO,92.69,6.9556,"41,384 M"
CEV,13.50,<empty>,96 M
CF,36.22,28.525,"7,748 M"
CFB,10.20,147.62,532 M
CFG,34.24,15.497,"14,623 M"
CFR,85.57,16.251,"5,378 M"
CFX,36.19,-669.05,"4,287 M"
CG,30.98,-55.501,"10,952 M"
CGA,2.86,<empty>,18 M
CGC,25.86,<empty>,"9,627 M"
CHA,27.90,7.4826,"22,580 M"
CHD,86.56,28.452,"21,506 M"
CHE,532.01,32.673,"8,487 M"
CHH,101.51,52.482,"5,630 M"
CHI,13.70,<empty>,972 M
CHL,28.21,7.7839,"115,523 M"
CHS,1.49,-.61282,179 M
CHT,38.74,26.14,"30,052 M"
CHU,5.70,10.052,"17,441 M"
CHW,9.56,<empty>,567 M
CHX,13.91,-2.432,"2,780 M"
CHY,14.50,-340.71,"1,062 M"
CI,194.97,13.824,"70,436 M"
CIA,5.74,-39.397,290 M
CIB,40.08,34.177,"9,638 M"
CIG,2.74,11.436,"4,331 M"
CIH,1.90,4.0882,171 M
CII,17.25,<empty>,761 M
CIK,3.18,-28.054,166 M
CIM,10.36,252.27,"2,421 M"
CIO,9.39,-858.33,407 M
CIR,34.88,-4.3627,698 M
CIT,35.47,-6.9373,"3,495 M"
CKH,41.41,-397.91,844 M
CL,84.40,27.428,"72,345 M"
CLA,13.83,<empty>,346 M
CLB,25.42,<empty>,"1,131 M"
CLF,13.83,-48.281,"6,603 M"
CLH,74.32,34.568,"4,106 M"
CLI,12.69,-32.803,"1,151 M"
CLM,11.51,<empty>,876 M
CLR,15.92,-19.337,"5,815 M"
CLS,7.69,<empty>,992 M
CLW,36.81,10.594,610 M
CLX,201.39,22.629,"25,385 M"
CM,86.29,<empty>,"38,579 M"
CMA,54.15,14.809,"7,532 M"
CMC,19.97,8.6433,"2,398 M"
CMD,76.59,153.39,"3,236 M"
CME,181.00,30.664,"64,977 M"
CMG,1426.30,169.66,"39,908 M"
CMI,223.54,21.218,"33,085 M"
CMO,5.76,-4.0221,556 M
CMP,61.05,25.505,"2,073 M"
CMS,57.60,23.127,"16,493 M"
CMU,4.36,-16.663,123 M
CNA,37.95,18.179,"10,299 M"
CNC,58.07,16.727,"33,669 M"
CNI,108.87,<empty>,"77,319 M"
CNK,15.52,-5.4264,"1,834 M"
CNO,22.15,7.3389,"3,079 M"
CNP,20.82,-11.872,"11,343 M"
CNQ,23.06,<empty>,"27,235 M"
CNR,9.70,-2.5249,"1,213 M"
CNS,73.58,30.747,"3,516 M"
CNX,11.06,-2.2307,"2,483 M"
CO,3.61,<empty>,439 M
COE,25.03,30.873,536 M
COF,94.99,44.713,"43,448 M"
COG,16.79,31.747,"6,692 M"
COO,352.69,72.742,"17,325 M"
COP,39.03,-36.194,"41,684 M"
COR,125.89,61.025,"5,384 M"
CP,339.44,<empty>,"45,654 M"
CPA,74.18,<empty>,"3,142 M"
CPB,47.76,18.701,"14,469 M"
CPE,13.29,-.26924,528 M
