symbol,to_consider,could_process,Adj_Close,AS_30,AS_90,AS_180,AS_360,Hurst,ATR_20,MA_100,position_size,Volume,close_gt_ma100,ma50_gt_ma100,max_min,AS_30_vol,AS_90_vol,AS_180_vol,AS_360_vol,Q_30,Q_90,Q_180,Q_360,Mean_4Q,Mean_3Q,Mean_Q,Q_30_vol,Q_90_vol,Q_180_vol,Q_360_vol,Mean_4Q_vol,Mean_3Q_vol,Mean_Q_vol,Mean_Final_Q,Stock_Value,sp_check
ACC,True,True,43.46,0.05,0.4,0.28,-0.02,0.73,1.09,40.17,92.0,493800.0,True,True,1.2248603186764067,0.0,-0.05,-0.13,0.01,0.6,0.34,0.39,0.2,0.38,0.31,0.345,0.6,0.34,0.39,0.2,0.38,0.31,0.345,0.345,3998.32,True
CAPLIPOINT,False,True,468.3,-0.42,-0.11,0.14,0.18,1.24,14.29,502.53,7.0,88600.0,False,False,1.285793933987511,0.0,0.0,-0.25,0.68,0.09,0.02,0.29,0.83,0.31,0.38,0.345,0.09,0.02,0.29,0.83,0.31,0.38,0.345,0.345,3278.1,False
ANGELBRKG,False,False,343.7,-0.02,0.56,0.0,0.0,,13.6,,7.0,59538.0,False,False,1.6953038059203205,-0.22,-0.28,0.0,0.0,0.35,0.44,0.1,0.47,0.34,0.33,0.335,0.35,0.44,0.1,0.47,0.34,0.33,0.335,0.335,2405.9,False
ATLANTA,True,False,8.1,-0.74,0.91,-0.0,0.0,0.7,0.49,7.72,204.0,38896.0,True,True,1.650793650793651,-0.0,45.89,0.0,0.0,0.01,0.52,0.1,0.47,0.28,0.36,0.32,0.01,0.52,0.1,0.47,0.28,0.36,0.32,0.32,1652.3999999999999,False
DNAMEDIA,False,False,0.75,2516.84,-0.0,0.0,0.0,1.83,0.06,0.51,1739.0,84948.0,True,False,2.142857142857143,541792462.27,-0.05,0.0,0.0,0.99,0.08,0.1,0.47,0.41,0.22,0.315,0.99,0.08,0.1,0.47,0.41,0.22,0.315,0.315,1304.25,False
CCL,True,True,20.6,-0.0,1.4,0.1,-0.25,1.18,0.91,18.29,110.0,25028300.0,True,True,1.9162601080753339,-0.01,-0.03,-0.0,2.73,0.47,0.59,0.26,0.02,0.34,0.29,0.315,0.47,0.59,0.26,0.02,0.34,0.29,0.315,0.315,2266.0,False
ELGIEQUIP,True,True,168.0,0.0,3.09,-0.0,-0.17,0.84,6.64,141.1,15.0,94907.0,True,True,1.720863309352518,-0.06,29.06,0.32,1.98,0.47,0.72,0.1,0.04,0.33,0.29,0.31,0.47,0.72,0.1,0.04,0.33,0.29,0.31,0.31,2520.0,False
CONTROLPR,True,True,233.0,-0.23,0.46,0.17,-0.01,0.7,10.53,227.58,9.0,14030.0,True,True,1.2975897688145597,-0.13,0.11,0.04,0.71,0.16,0.4,0.32,0.22,0.28,0.31,0.29500000000000004,0.16,0.4,0.32,0.22,0.28,0.31,0.29500000000000004,0.29500000000000004,2097.0,False
DWARKESH,False,True,26.95,-0.72,0.02,0.19,0.0,0.74,1.01,29.2,99.0,432107.0,False,True,1.2710280373831775,-0.09,0.78,-0.0,0.01,0.02,0.12,0.35,0.47,0.24,0.31,0.275,0.02,0.12,0.35,0.47,0.24,0.31,0.275,0.275,2668.0499999999997,False
21STCENMGM,True,True,12.25,0.89,0.46,-0.0,-0.12,0.88,0.3,10.31,339.0,14565.0,True,True,1.2827225130890052,-0.09,10.88,0.18,2.3,0.69,0.4,0.1,0.08,0.32,0.19,0.255,0.69,0.4,0.1,0.08,0.32,0.19,0.255,0.255,4152.75,False
DIGJAMLTD,False,False,1.35,0.0,0.0,0.0,0.0,,,,,26279.0,False,False,1.4736842105263157,0.0,0.0,0.0,0.0,0.47,0.08,0.1,0.47,0.28,0.22,0.25,0.47,0.08,0.1,0.47,0.28,0.22,0.25,0.25,,False
ABMINTLTD,False,False,42.75,0.0,0.0,0.0,0.0,,,,,765.0,False,False,1.4442567567567566,0.0,0.0,0.0,0.0,0.47,0.08,0.1,0.47,0.28,0.22,0.25,0.47,0.08,0.1,0.47,0.28,0.22,0.25,0.25,,False
ATULAUTO,True,True,181.45,-0.02,0.38,0.04,-0.08,0.97,5.94,174.36,17.0,125841.0,True,True,1.2873977086743045,-0.11,0.55,0.07,2.33,0.35,0.33,0.21,0.1,0.25,0.21,0.22999999999999998,0.35,0.33,0.21,0.1,0.25,0.21,0.22999999999999998,0.22999999999999998,3084.6499999999996,False
PSB,True,True,145.08,1.25,0.26,0.0,-0.13,0.55,3.48,130.41,29.0,87700.0,True,True,1.3071448294748835,-0.12,-0.07,-0.05,0.0,0.72,0.3,0.1,0.08,0.3,0.16,0.22999999999999998,0.72,0.3,0.1,0.08,0.3,0.16,0.22999999999999998,0.22999999999999998,4207.320000000001,False
COX&KINGS,False,False,1.55,-0.0,-0.85,0.0,0.0,,0.07,,1429.0,1516210.0,False,False,5.466666666666666,-0.02,2.21,0.0,0.0,0.47,0.01,0.1,0.47,0.26,0.19,0.225,0.47,0.01,0.1,0.47,0.26,0.19,0.225,0.225,2214.9500000000003,False
ANDHRAPAP,True,True,227.35,0.01,0.56,-0.02,-0.14,1.4,7.91,202.77,13.0,61679.0,True,True,1.2480874316939892,-0.09,4.56,-0.04,0.27,0.55,0.44,0.02,0.07,0.27,0.17,0.22000000000000003,0.55,0.44,0.02,0.07,0.27,0.17,0.22000000000000003,0.22000000000000003,2955.5499999999997,False
ACCELYA,False,True,910.0,-0.08,0.0,-0.0,0.0,0.67,26.84,943.68,4.0,8736.0,False,True,1.2942480601059243,1.59,-0.06,-0.17,0.0,0.24,0.08,0.1,0.47,0.22,0.22,0.22,0.24,0.08,0.1,0.47,0.22,0.22,0.22,0.22,3640.0,False
ELECTHERM,True,True,127.1,-0.3,0.49,-0.0,-0.04,0.71,5.66,106.31,18.0,441438.0,True,True,1.432112676056338,-0.04,0.1,0.05,0.07,0.13,0.42,0.1,0.16,0.2,0.23,0.21500000000000002,0.13,0.42,0.1,0.16,0.2,0.23,0.21500000000000002,0.21500000000000002,2287.7999999999997,False
BFINVEST,True,True,284.05,-0.25,0.04,-0.01,-0.0,0.97,9.41,283.54,11.0,22395.0,True,True,1.2178814382896015,-0.38,0.6,-0.0,-0.05,0.14,0.15,0.02,0.47,0.2,0.21,0.20500000000000002,0.14,0.15,0.02,0.47,0.2,0.21,0.20500000000000002,0.20500000000000002,3124.55,False
MMP,True,True,41.69,-0.16,0.51,0.0,-0.17,0.66,1.38,40.66,73.0,2063800.0,True,True,1.3600000534614507,850.53,0.57,0.0,0.01,0.22,0.42,0.1,0.04,0.19,0.19,0.19,0.22,0.42,0.1,0.04,0.19,0.19,0.19,0.19,3043.37,False
PPL,False,True,28.01,0.0,-0.02,0.01,-0.04,0.65,0.51,28.13,196.0,2777200.0,False,False,1.165210801142207,-0.11,-0.0,-0.06,-0.0,0.47,0.05,0.18,0.16,0.22,0.13,0.175,0.47,0.05,0.18,0.16,0.22,0.13,0.175,0.175,5489.96,False
ARVINDFASN,True,True,159.35,-0.43,0.62,-0.0,-0.44,1.02,7.07,141.07,14.0,1149261.0,True,True,1.392435949572997,-0.0,12.45,1.45,4.83,0.08,0.47,0.1,0.01,0.16,0.19,0.175,0.08,0.47,0.1,0.01,0.16,0.19,0.175,0.175,2230.9,False
MIC,True,True,31.78,-0.24,0.11,0.01,-0.06,0.89,0.7,30.54,142.0,673800.0,True,True,1.6025387938535103,-0.25,1.9,0.03,0.02,0.15,0.2,0.18,0.12,0.16,0.17,0.165,0.15,0.2,0.18,0.12,0.16,0.17,0.165,0.165,4512.76,False
CHEMFAB,False,True,129.55,-0.65,0.06,-0.0,-0.06,1.0,5.1,135.37,20.0,6684.0,False,True,1.3028229255774166,-0.09,1.55,0.0,0.6,0.04,0.16,0.1,0.12,0.11,0.13,0.12,0.04,0.16,0.1,0.12,0.11,0.13,0.12,0.12,2591.0,False
SFL,False,True,7.69,0.37,-0.05,-0.4,-0.44,0.52,0.26,6.92,380.0,1610400.0,True,False,1.3429053558799984,-0.08,2.47,0.26,0.11,0.64,0.02,0.01,0.01,0.17,0.02,0.095,0.64,0.02,0.01,0.01,0.17,0.02,0.095,0.095,2922.2000000000003,False
