symbol,to_consider,could_process,Adj_Close,AS_30,AS_90,AS_180,AS_360,Hurst,ATR_20,MA_100,position_size,Volume,close_gt_ma100,ma50_gt_ma100,max_min,AS_30_vol,AS_90_vol,AS_180_vol,AS_360_vol,Q_30,Q_90,Q_180,Q_360,Mean_4Q,Mean_3Q,Mean_Q,Q_30_vol,Q_90_vol,Q_180_vol,Q_360_vol,Mean_4Q_vol,Mean_3Q_vol,Mean_Q_vol,Mean_Final_Q,Stock_Value,sp_check
AUBANK,True,True,1099.3,2.54,0.84,1.13,0.0,0.66,41.33,846.87,2.0,797049.0,True,True,1.5546810273405136,-0.0,1.09,0.0,0.07,0.78,0.52,0.8,0.47,0.64,0.59,0.615,0.78,0.52,0.8,0.47,0.64,0.59,0.615,0.615,2198.6,False
COSMOFILMS,True,True,503.2,2.29,0.13,0.53,0.79,1.07,21.92,448.9,5.0,65294.0,True,True,1.3447714464621163,72216.96,-0.0,-0.06,1.13,0.78,0.22,0.54,0.96,0.62,0.57,0.595,0.78,0.22,0.54,0.96,0.62,0.57,0.595,0.595,2516.0,False
CAMLINFINE,False,True,110.0,-0.42,0.13,2.25,0.25,0.76,5.98,110.34,17.0,574849.0,False,True,1.3547031003678403,0.1,0.12,-0.01,0.15,0.09,0.22,0.92,0.85,0.52,0.66,0.5900000000000001,0.09,0.22,0.92,0.85,0.52,0.66,0.5900000000000001,0.5900000000000001,1870.0,False
BBL,True,True,59.07,-0.0,2.16,0.32,0.02,0.91,1.48,49.13,68.0,1121600.0,True,True,1.5724675562474635,0.11,0.0,-0.0,0.0,0.47,0.65,0.4,0.75,0.57,0.6,0.585,0.47,0.65,0.4,0.75,0.57,0.6,0.585,0.585,4016.76,False
ELECTCAST,True,True,22.65,-0.06,0.15,1.23,0.23,1.02,0.96,21.39,104.0,842470.0,True,True,1.4011461318051577,-0.2,-0.02,0.0,2.1,0.26,0.23,0.82,0.84,0.54,0.63,0.585,0.26,0.23,0.82,0.84,0.54,0.63,0.585,0.585,2355.6,False
COUNCODOS,True,False,3.7,231949.05,2.35,0.35,0.0,0.28,0.14,1.63,714.0,145193.0,True,True,3.5,-0.0,0.05,10.99,0.0,1.0,0.67,0.42,0.47,0.64,0.52,0.5800000000000001,1.0,0.67,0.42,0.47,0.64,0.52,0.5800000000000001,0.5800000000000001,2641.8,False
AMRUTANJAN,True,True,586.95,-0.03,0.97,0.48,0.04,1.03,20.22,478.93,5.0,1686875.0,True,True,1.4555486670799753,-0.04,0.05,-0.09,0.1,0.33,0.54,0.52,0.78,0.54,0.61,0.575,0.33,0.54,0.52,0.78,0.54,0.61,0.575,0.575,2934.75,False
CAPACITE,True,True,212.8,0.15,1.56,1.48,-0.01,0.84,10.42,160.95,10.0,931291.0,True,True,1.7689110556940981,0.0,40.65,0.19,0.34,0.62,0.61,0.86,0.22,0.58,0.56,0.5700000000000001,0.62,0.61,0.86,0.22,0.58,0.56,0.5700000000000001,0.5700000000000001,2128.0,False
CANFINHOME,True,True,517.5,0.0,0.21,0.86,0.02,0.87,20.39,474.0,5.0,1039146.0,True,True,1.208609656777196,-0.0,0.17,-0.01,0.02,0.47,0.27,0.72,0.75,0.55,0.58,0.565,0.47,0.27,0.72,0.75,0.55,0.58,0.565,0.565,2587.5,False
IVC,False,True,8.58,0.02,0.99,0.72,0.0,0.74,0.66,8.71,151.0,613500.0,False,True,1.4790503321610422,0.03,-0.01,-0.13,-0.16,0.57,0.56,0.67,0.47,0.57,0.56,0.565,0.57,0.56,0.67,0.47,0.57,0.56,0.565,0.565,1295.58,False
TRIL,False,True,13.23,-0.3,-0.02,1.17,15.56,1.36,0.96,14.16,104.0,550300.0,False,False,1.730868354487054,-0.01,0.01,0.0,0.29,0.13,0.05,0.82,1.0,0.5,0.62,0.56,0.13,0.05,0.82,1.0,0.5,0.62,0.56,0.56,1375.92,False
ANDHRACEMT,True,False,5.85,-0.45,0.74,2.39,0.0,1.49,0.28,5.42,354.0,349113.0,True,True,1.558139534883721,-0.29,1.06,0.63,0.0,0.07,0.5,0.92,0.47,0.49,0.63,0.56,0.07,0.5,0.92,0.47,0.49,0.63,0.56,0.56,2070.9,False
PFC,True,True,29.02,6.19,3.22,0.62,-0.04,0.77,1.04,21.81,96.0,76400.0,True,True,1.7796809579238677,0.03,0.06,-0.05,0.01,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.5549999999999999,2785.92,True
PFC,True,True,29.02,6.19,3.22,0.62,-0.04,0.77,1.04,21.81,96.0,76400.0,True,True,1.7796809579238677,0.03,0.06,-0.05,0.01,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.5549999999999999,2785.92,True
PFC,True,True,29.02,6.19,3.22,0.62,-0.04,0.77,1.04,21.81,96.0,76400.0,True,True,1.7796809579238677,0.03,0.06,-0.05,0.01,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.5549999999999999,2785.92,True
PFC,True,True,29.02,6.19,3.22,0.62,-0.04,0.77,1.04,21.81,96.0,76400.0,True,True,1.7796809579238677,0.03,0.06,-0.05,0.01,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.5549999999999999,2785.92,True
PFC,True,True,29.02,6.19,3.22,0.62,-0.04,0.77,1.04,21.81,96.0,76400.0,True,True,1.7796809579238677,0.03,0.06,-0.05,0.01,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.5549999999999999,2785.92,True
PFC,True,True,29.02,6.19,3.22,0.62,-0.04,0.77,1.04,21.81,96.0,76400.0,True,True,1.7796809579238677,0.03,0.06,-0.05,0.01,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.89,0.75,0.61,0.16,0.6,0.51,0.5549999999999999,0.5549999999999999,2785.92,True
ANKITMETAL,True,False,1.2,3.96,66.69,0.0,0.0,0.94,0.09,0.9,1111.0,193214.0,True,True,5.2857142857142865,1.58,2140.87,0.0,0.0,0.82,0.99,0.1,0.47,0.59,0.52,0.5549999999999999,0.82,0.99,0.1,0.47,0.59,0.52,0.5549999999999999,0.5549999999999999,1333.2,False
BEL,True,False,136.25,1.3,5.76,0.01,0.0,0.96,5.46,102.04,18.0,8268755.0,True,True,2.0236898779612345,-0.0,-0.01,0.26,0.0,0.73,0.92,0.18,0.47,0.58,0.52,0.55,0.73,0.92,0.18,0.47,0.58,0.52,0.55,0.55,2452.5,False
ATUL,True,True,6844.3,-0.01,0.17,0.57,0.4,0.81,159.86,6263.13,1.0,122453.0,True,True,1.1726518863722029,-0.02,0.16,0.0,0.23,0.39,0.25,0.57,0.89,0.52,0.57,0.5449999999999999,0.39,0.25,0.57,0.89,0.52,0.57,0.5449999999999999,0.5449999999999999,6844.3,False
ITI,True,True,6.15,0.0,3.85,0.2,0.0,0.66,0.43,5.24,235.0,330500.0,True,True,1.9920425111079658,0.17,9.49,0.03,0.01,0.47,0.82,0.36,0.47,0.53,0.55,0.54,0.47,0.82,0.36,0.47,0.53,0.55,0.54,0.54,1445.25,False
AUROPHARMA,True,True,929.95,-0.01,0.65,0.13,0.57,0.87,37.18,867.84,3.0,2641485.0,True,True,1.312393218556972,0.93,0.0,-0.03,-0.0,0.39,0.48,0.28,0.93,0.52,0.56,0.54,0.39,0.48,0.28,0.93,0.52,0.56,0.54,0.54,2789.8500000000004,True
PNC,True,True,162.27,0.0,1.86,0.57,-0.0,0.61,3.79,133.98,26.0,1230800.0,True,True,1.4925496914137313,-0.32,-0.04,-0.07,0.0,0.47,0.62,0.57,0.47,0.53,0.55,0.54,0.47,0.62,0.57,0.47,0.53,0.55,0.54,0.54,4219.02,False
HCC,True,True,21.91,-0.04,2.53,0.49,-0.0,0.89,1.12,19.07,89.0,525500.0,True,True,1.6736842372961214,0.0,-0.02,-0.0,-0.08,0.3,0.7,0.53,0.47,0.5,0.57,0.5349999999999999,0.3,0.7,0.53,0.47,0.5,0.57,0.5349999999999999,0.5349999999999999,1949.99,False
DIGISPICE,True,False,11.8,56.06,0.13,0.93,0.0,1.0,0.52,7.35,191.0,10551.0,True,True,2.4329896907216497,69801.98,2.54,0.39,0.0,0.95,0.22,0.74,0.47,0.59,0.48,0.5349999999999999,0.95,0.22,0.74,0.47,0.59,0.48,0.5349999999999999,0.5349999999999999,2253.8,False
ANANTRAJ,True,True,43.1,117.93,2.97,0.4,-0.01,0.88,2.46,27.95,41.0,369546.0,True,True,2.5518207282913163,-0.0,158.17,4.95,0.17,0.98,0.71,0.48,0.22,0.6,0.47,0.5349999999999999,0.98,0.71,0.48,0.22,0.6,0.47,0.5349999999999999,0.5349999999999999,1767.1000000000001,False
ABB,True,True,29.52,0.0,0.42,0.38,0.14,0.5,0.59,27.46,168.0,1048000.0,True,True,1.2686752105601151,-0.04,0.11,-0.0,-0.0,0.47,0.35,0.46,0.82,0.52,0.54,0.53,0.47,0.35,0.46,0.82,0.52,0.54,0.53,0.53,4959.36,False
CONSOFINVT,True,True,43.05,-0.2,0.98,0.76,0.0,0.78,2.58,37.95,39.0,3216.0,True,True,1.5687203791469195,-0.21,58.66,0.88,0.3,0.18,0.55,0.69,0.47,0.47,0.57,0.52,0.18,0.55,0.69,0.47,0.47,0.57,0.52,0.52,1678.9499999999998,False
HAL,True,True,20.17,-0.06,3.08,0.4,-0.0,0.72,0.98,16.5,102.0,9487400.0,True,True,1.9378282848443114,-0.03,-0.06,-0.16,-0.0,0.26,0.72,0.48,0.47,0.48,0.55,0.515,0.26,0.72,0.48,0.47,0.48,0.55,0.515,0.515,2057.34,False
BGRENERGY,True,False,43.85,6.74,0.08,0.84,0.0,0.77,4.07,39.08,25.0,81439.0,True,True,1.7539936102236422,-0.08,1.74,-0.0,0.0,0.92,0.18,0.71,0.47,0.57,0.45,0.51,0.92,0.18,0.71,0.47,0.57,0.45,0.51,0.51,1096.25,False
BANARBEADS,True,True,57.5,-0.09,0.0,0.69,0.48,1.7,1.88,56.67,53.0,3307.0,True,True,1.274024738344434,-0.29,-0.0,0.06,2.99,0.23,0.08,0.66,0.9,0.47,0.55,0.51,0.23,0.08,0.66,0.9,0.47,0.55,0.51,0.51,3047.5,False
HIL,True,True,2.85,5.04,4.62,0.39,-0.15,1.01,0.11,1.82,897.0,145300.0,True,True,2.1666665010982156,-0.19,-0.29,0.69,0.84,0.85,0.87,0.47,0.06,0.56,0.46,0.51,0.85,0.87,0.47,0.06,0.56,0.46,0.51,0.51,2556.4500000000003,False
BEML,True,True,971.6,-0.04,3.99,0.46,-0.01,0.54,32.51,770.2,3.0,400420.0,True,True,1.6713455149501661,-0.0,2.28,-0.0,-0.0,0.3,0.85,0.52,0.22,0.47,0.53,0.5,0.3,0.85,0.52,0.22,0.47,0.53,0.5,0.5,2914.8,False
AKSHARCHEM,True,True,279.2,-0.05,1.43,0.08,0.01,0.81,11.8,233.47,8.0,297427.0,True,True,1.4626790650917316,-0.24,9.59,-0.03,1.38,0.28,0.6,0.25,0.71,0.46,0.52,0.49,0.28,0.6,0.25,0.71,0.46,0.52,0.49,0.49,2233.6,False
DMART,True,False,2928.9,0.0,1.92,0.2,0.0,0.71,114.16,2494.23,1.0,188886.0,True,True,1.5184219189182344,-0.23,-0.02,0.0,0.0,0.47,0.64,0.36,0.47,0.49,0.49,0.49,0.47,0.64,0.36,0.47,0.49,0.49,0.49,0.49,2928.9,True
BOSCHLTD,True,True,15615.35,5.0,1.19,0.12,-0.0,0.96,638.29,13336.72,0.0,129893.0,True,True,1.4501575847153694,-0.0,0.34,0.14,1.59,0.84,0.58,0.27,0.47,0.54,0.44,0.49,0.84,0.58,0.27,0.47,0.54,0.44,0.49,0.49,0.0,True
CUB,True,True,69.25,0.11,0.17,0.75,-0.0,0.8,1.84,61.86,54.0,849900.0,True,True,1.2290089422115344,23789.87,-0.01,-0.02,0.02,0.62,0.25,0.68,0.47,0.5,0.46,0.48,0.62,0.25,0.68,0.47,0.5,0.46,0.48,0.48,3739.5,False
ABSLNN50ET,True,False,344.0,0.01,0.77,0.35,0.0,-0.23,14.49,302.34,7.0,524.0,True,True,1.2624316488678484,-0.0,0.02,0.0,0.0,0.55,0.51,0.42,0.47,0.49,0.47,0.48,0.55,0.51,0.42,0.47,0.49,0.47,0.48,0.48,2408.0,False
SCI,True,True,54.12,0.61,0.42,0.42,0.0,0.59,1.15,48.18,87.0,974000.0,True,True,1.246430244453402,-0.0,-0.0,-0.09,-0.0,0.68,0.35,0.5,0.47,0.5,0.44,0.47,0.68,0.35,0.5,0.47,0.5,0.44,0.47,0.47,4708.44,False
EMAMIPAP,True,True,95.05,-0.39,3.29,0.15,0.0,0.99,5.68,82.71,18.0,10401.0,True,True,1.748422712933754,-0.07,6.53,0.32,0.24,0.11,0.78,0.3,0.47,0.41,0.52,0.46499999999999997,0.11,0.78,0.3,0.47,0.41,0.52,0.46499999999999997,0.46499999999999997,1710.8999999999999,False
CANBK,True,True,157.1,2.25,4.88,0.17,-0.16,0.92,8.64,112.66,12.0,21225229.0,True,True,1.8920653442240374,0.05,381.42,0.24,0.17,0.76,0.89,0.32,0.05,0.51,0.42,0.46499999999999997,0.76,0.89,0.32,0.05,0.51,0.42,0.46499999999999997,0.46499999999999997,1885.1999999999998,False
DICIND,True,True,396.25,-0.04,0.25,0.19,0.08,1.34,12.24,384.25,8.0,10621.0,True,True,1.1510272071071628,-0.01,53.76,0.0,1.84,0.3,0.29,0.35,0.81,0.44,0.48,0.45999999999999996,0.3,0.29,0.35,0.81,0.44,0.48,0.45999999999999996,0.45999999999999996,3170.0,False
EIMCOELECO,True,True,382.3,-0.01,0.37,0.16,0.02,1.12,22.26,332.82,4.0,3752.0,True,True,1.3283760683760684,-0.0,27.55,0.48,0.26,0.39,0.32,0.31,0.75,0.44,0.46,0.45,0.39,0.32,0.31,0.75,0.44,0.46,0.45,0.45,1529.2,False
COROMANDEL,False,True,756.25,-0.18,0.27,0.05,0.54,0.96,26.62,778.8,4.0,197769.0,False,True,1.2265793639372573,-0.06,0.06,-0.0,0.78,0.2,0.31,0.22,0.92,0.41,0.48,0.44499999999999995,0.2,0.31,0.22,0.92,0.41,0.48,0.44499999999999995,0.44499999999999995,3025.0,False
IEX,True,True,199.87,-0.05,0.06,0.36,0.07,1.08,5.27,191.35,19.0,353300.0,True,True,1.236116947818883,18.52,-0.0,-0.0,-0.0,0.28,0.16,0.44,0.8,0.42,0.47,0.44499999999999995,0.28,0.16,0.44,0.8,0.42,0.47,0.44499999999999995,0.44499999999999995,3797.53,False
